,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
18091,2025,EN,FT,Software Engineer,147000,USD,147000,US,0,US,M
18093,2025,MI,FT,Software Engineer,168150,USD,168150,US,0,US,M
18094,2025,MI,FT,Software Engineer,113500,USD,113500,US,0,US,M
18095,2025,MI,FT,Machine Learning Scientist,160000,USD,160000,US,0,US,M
18097,2025,SE,FT,Machine Learning Scientist,200000,USD,200000,US,0,US,M
18098,2025,SE,FT,Machine Learning Scientist,130000,USD,130000,US,0,US,M
18100,2025,SE,FT,Machine Learning Scientist,130000,USD,130000,US,0,US,M
18102,2025,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
18104,2025,SE,FT,Machine Learning Scientist,200000,USD,200000,US,0,US,M
18105,2025,SE,FT,Manager,160000,USD,160000,US,0,US,M
18108,2025,MI,FT,Research Scientist,177000,USD,177000,US,0,US,M
18111,2025,MI,FT,Data Analyst,70000,USD,70000,US,0,US,M
18112,2025,MI,FT,Data Analyst,50000,USD,50000,US,0,US,M
18113,2025,SE,FT,Data Analyst,60000,EUR,63157,LT,0,LT,M
18118,2025,EN,FT,Data Analyst,41440,USD,41440,US,100,US,M
18119,2025,SE,FT,Data Analyst,60000,GBP,75949,GB,0,GB,M
18120,2025,SE,FT,Data Analyst,50000,GBP,63291,GB,0,GB,M
18125,2025,EN,FT,Data Analyst,50000,GBP,63291,GB,0,GB,M
18126,2025,EN,FT,Data Analyst,40000,GBP,50632,GB,0,GB,M
18127,2025,SE,FT,Data Engineer,135000,USD,135000,US,0,US,M
18128,2025,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
18130,2025,MI,FT,Data Engineer,148776,USD,148776,US,0,US,M
18132,2025,MI,FT,Research Scientist,210000,USD,210000,US,0,US,M
18136,2025,SE,FT,Product Manager,117200,USD,117200,US,0,US,M
18140,2025,SE,FT,Software Engineer,110000,USD,110000,US,0,US,M
18141,2025,MI,FT,Analyst,110000,USD,110000,US,100,US,M
18142,2025,MI,FT,Analyst,85000,USD,85000,US,100,US,M
18144,2025,EN,FT,Analyst,74325,USD,74325,US,0,US,M
18145,2025,MI,FT,Site Reliability Engineer,237500,USD,237500,US,0,US,M
18147,2025,EN,FT,Analyst,148608,USD,148608,US,0,US,M
18148,2025,EN,FT,Analyst,117180,USD,117180,US,0,US,M
18149,2025,SE,FT,Software Engineer,245050,USD,245050,US,100,US,M
18150,2025,SE,FT,Software Engineer,148540,USD,148540,US,100,US,M
18151,2025,SE,FT,Engineer,169340,USD,169340,US,100,US,M
18152,2025,SE,FT,Engineer,105860,USD,105860,US,100,US,M
18154,2025,MI,FT,Software Engineer,94550,USD,94550,US,100,US,M
18155,2025,SE,FT,Lead Engineer,190000,USD,190000,US,0,US,M
18156,2025,SE,FT,Lead Engineer,140000,USD,140000,US,0,US,M
18157,2025,SE,FT,Engineer,228000,USD,228000,US,100,US,M
18158,2025,SE,FT,Engineer,159000,USD,159000,US,100,US,M
18163,2025,EN,PT,Software Engineer,60000,USD,60000,US,0,US,M
18164,2025,EN,PT,Software Engineer,46000,USD,46000,US,0,US,M
18165,2025,SE,FT,Chatbot Developer,178100,USD,178100,US,0,US,M
18167,2025,MI,FT,Data Scientist,72000,EUR,75789,NL,0,NL,M
18168,2025,MI,FT,Data Scientist,36000,EUR,37894,NL,0,NL,M
18170,2025,SE,FT,Data Scientist,30000,GBP,37974,GB,0,GB,M
18172,2025,MI,FT,Data Scientist,72700,USD,72700,US,0,US,M
18173,2025,MI,FT,Consultant,72000,EUR,75789,NL,0,NL,M
18174,2025,MI,FT,Consultant,42000,EUR,44210,NL,0,NL,M
18176,2025,SE,FT,Cloud Developer,79800,USD,79800,US,0,US,M
18177,2025,SE,FT,Data Analyst,123700,USD,123700,US,100,US,M
18180,2025,MI,FT,Data Analyst,75000,USD,75000,US,0,US,M
18181,2025,MI,FT,Data Analyst,140000,USD,140000,US,0,US,M
18183,2025,EN,PT,Research Scientist,80000,USD,80000,US,100,US,M
18187,2025,MI,FT,Data Engineer,165000,USD,165000,US,0,US,M
18189,2025,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
18201,2025,SE,FT,Analyst,82500,USD,82500,US,0,US,M
18203,2025,EN,FT,Analyst,100000,USD,100000,US,0,US,M
18204,2025,EN,FT,Analyst,85000,USD,85000,US,0,US,M
18205,2025,EN,FT,Business Analyst,135600,USD,135600,US,100,US,M
18206,2025,EN,FT,Business Analyst,116064,USD,116064,US,100,US,M
18209,2025,SE,FT,Site Reliability Engineer,327600,USD,327600,US,100,US,M
18210,2025,SE,FT,Site Reliability Engineer,176400,USD,176400,US,100,US,M
18211,2025,MI,FT,Cloud Engineer,126100,USD,126100,US,0,US,M
18212,2025,MI,FT,Cloud Engineer,78800,USD,78800,US,0,US,M
18216,2025,SE,FT,Manager,110000,USD,110000,US,0,US,M
18218,2025,MI,FT,Data Scientist,140551,USD,140551,US,0,US,M
18219,2025,MI,FT,Data Product Manager,151400,USD,151400,US,100,US,M
18220,2025,MI,FT,Data Product Manager,94800,USD,94800,US,100,US,M
18221,2025,MI,FT,Developer,128381,USD,128381,US,0,US,M
18224,2025,SE,FT,Analyst,100800,USD,100800,US,0,US,M
18226,2025,SE,FT,Product Manager,143000,USD,143000,US,0,US,M
18227,2025,EX,FT,Head of Data,200000,USD,200000,US,0,US,M
18229,2025,SE,FT,Technical Lead,212160,USD,212160,US,0,US,M
18232,2025,SE,FT,Manager,160000,USD,160000,US,0,US,M
18237,2025,MI,FT,Data Engineer,128200,USD,128200,US,100,US,M
18238,2025,MI,FT,Data Engineer,76100,USD,76100,US,100,US,M
18239,2025,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M
18240,2025,SE,FT,Data Engineer,165000,USD,165000,US,100,US,M
18241,2025,SE,FT,Data Analyst,182200,USD,182200,US,100,US,M
18247,2025,MI,FT,Data Specialist,72000,USD,72000,US,0,US,M
18248,2025,MI,FT,Data Specialist,42000,USD,42000,US,0,US,M
18251,2025,SE,FT,Data Management Analyst,141395,USD,141395,US,0,US,M
18253,2025,MI,FT,Data Management Analyst,115598,USD,115598,US,0,US,M
18255,2025,EX,FT,Head of Data,190000,USD,190000,US,0,US,M
18256,2025,EX,FT,Head of Data,170000,USD,170000,US,0,US,M
18257,2025,SE,FT,Machine Learning Engineer,750000,USD,750000,US,100,US,M
18263,2025,SE,FT,Manager,220000,USD,220000,US,0,US,M
18264,2025,SE,FT,Manager,160000,USD,160000,US,0,US,M
18270,2025,SE,FT,Analyst,107120,USD,107120,US,0,US,M
18271,2025,MI,FT,Manager,137500,USD,137500,US,0,US,M
18275,2025,SE,FT,Analyst,157300,USD,157300,US,0,US,M
18276,2025,SE,FT,Analyst,71500,USD,71500,US,0,US,M
18280,2025,SE,FT,Software Engineer,120800,USD,120800,US,100,US,M
18281,2025,SE,FT,Software Engineer,213900,USD,213900,US,0,US,M
18282,2025,SE,FT,Software Engineer,152200,USD,152200,US,0,US,M
18286,2025,SE,FT,Software Engineer,254000,USD,254000,US,0,US,M
18287,2025,MI,FT,Product Manager,155000,USD,155000,US,0,US,M
18290,2025,SE,FT,Analyst,87200,USD,87200,US,0,US,M
18291,2025,MI,FT,Engineering Manager,294000,USD,294000,US,0,US,M
18292,2025,MI,FT,Engineering Manager,226000,USD,226000,US,0,US,M
18295,2025,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
18296,2025,SE,FT,Data Scientist,99000,USD,99000,US,0,US,M
18297,2025,SE,FT,Data Scientist,205400,USD,205400,US,0,US,M
18298,2025,SE,FT,Data Scientist,110600,USD,110600,US,0,US,M
18301,2025,MI,FT,Data Scientist,75000,USD,75000,US,0,US,M
18302,2025,MI,FT,Data Scientist,70000,USD,70000,US,0,US,M
18303,2025,EN,FT,Data Scientist,176000,USD,176000,US,0,US,M
18305,2025,MI,FT,Analytics Engineer,183950,USD,183950,US,0,US,M
18306,2025,MI,FT,Analytics Engineer,130300,USD,130300,US,0,US,M
18307,2025,MI,FT,Analytics Engineer,183950,USD,183950,US,0,US,M
18308,2025,MI,FT,Analytics Engineer,130300,USD,130300,US,0,US,M
18310,2025,EN,FT,Data Analyst,60000,USD,60000,US,0,US,M
18311,2025,EN,FT,Data Analyst,176000,USD,176000,US,0,US,M
18313,2025,EN,FT,Platform Engineer,130000,USD,130000,US,100,US,M
18316,2025,SE,FT,Analyst,110000,USD,110000,CA,0,CA,M
18319,2025,SE,FT,Java Developer,135000,USD,135000,US,0,US,M
18321,2025,MI,FT,Software Engineer,144900,USD,144900,US,0,US,M
18322,2025,MI,FT,Software Engineer,107100,USD,107100,US,0,US,M
18324,2025,SE,FT,Engineer,108800,USD,108800,US,0,US,M
18327,2025,SE,FT,Engineer,97700,USD,97700,US,0,US,M
18331,2025,SE,FT,Software Engineer,287500,USD,287500,US,0,US,M
18335,2025,SE,FT,Machine Learning Engineer,257600,USD,257600,US,0,US,M
18338,2025,SE,FT,Software Engineer,133900,USD,133900,US,0,US,M
18339,2025,SE,FT,Solution Architect,145000,USD,145000,US,0,US,M
18340,2025,SE,FT,Solution Architect,106000,USD,106000,US,0,US,M
18341,2025,SE,FT,Data Analyst,116438,USD,116438,US,0,US,M
18347,2025,SE,FT,Data Scientist,222300,USD,222300,US,0,US,M
18351,2025,SE,FT,Data Scientist,219000,USD,219000,US,0,US,M
18352,2025,SE,FT,Data Scientist,70907,USD,70907,US,0,US,M
18354,2025,MI,FT,Data Scientist,76128,USD,76128,US,100,US,M
18355,2025,SE,FT,Developer,132475,USD,132475,AU,0,AU,M
18356,2025,SE,FT,Developer,119056,USD,119056,AU,0,AU,M
18358,2025,MI,FT,Engineer,93000,GBP,117721,GB,0,GB,M
18360,2025,MI,FT,Manager,86840,USD,86840,US,100,US,M
18362,2025,SE,FT,Engineer,144000,USD,144000,US,0,US,M
18364,2025,EX,FT,Data Engineer,215200,USD,215200,US,0,US,M
18365,2025,SE,FT,Data Scientist,181800,USD,181800,US,0,US,M
18367,2025,SE,FT,Research Scientist,180000,USD,180000,US,0,US,M
18368,2025,SE,FT,Research Scientist,165000,USD,165000,US,0,US,M
18369,2025,SE,FT,Machine Learning Engineer,182750,USD,182750,US,0,US,M
18372,2025,SE,FT,Manager,97000,USD,97000,CA,0,CA,M
18374,2025,MI,FT,Associate,69000,USD,69000,US,0,US,M
18377,2025,SE,FT,Machine Learning Engineer,280600,USD,280600,US,0,US,M
18378,2025,SE,FT,Machine Learning Engineer,245900,USD,245900,US,0,US,M
18380,2025,EN,FT,Data Analyst,102817,USD,102817,NZ,0,NZ,M
18383,2025,EN,FT,Data Analyst,120000,USD,120000,US,0,US,M
18384,2025,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
18387,2025,EN,FT,Data Analyst,216000,USD,216000,US,0,US,M
18391,2025,EN,FT,Data Analyst,180800,USD,180800,US,0,US,M
18392,2025,EN,FT,Data Analyst,144000,USD,144000,US,0,US,M
18393,2025,SE,FT,Data Analyst,145500,USD,145500,US,0,US,M
18394,2025,SE,FT,Data Analyst,115900,USD,115900,US,0,US,M
18395,2025,MI,FT,Data Scientist,143700,USD,143700,SG,100,SG,M
18398,2025,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
18399,2025,EN,FT,Data Scientist,134000,USD,134000,US,0,US,M
18401,2025,SE,FT,Data Scientist,217000,USD,217000,US,100,US,M
18409,2025,SE,FT,Developer,225000,USD,225000,US,0,US,M
18410,2025,SE,FT,Developer,138000,USD,138000,US,0,US,M
18411,2025,SE,FT,Data Architect,195600,USD,195600,US,0,US,M
18413,2025,SE,FT,Analytics Engineer,160000,USD,160000,US,100,US,M
18419,2025,SE,FT,Data Engineer,143797,USD,143797,NZ,0,NZ,M
18420,2025,SE,FT,Data Engineer,118401,USD,118401,NZ,0,NZ,M
18421,2025,SE,FT,Data Engineer,181000,USD,181000,US,0,US,M
18423,2025,SE,FT,Data Engineer,220700,USD,220700,US,0,US,M
18425,2025,MI,FT,Data Engineer,156600,USD,156600,US,0,US,M
18426,2025,MI,FT,Data Engineer,104400,USD,104400,US,0,US,M
18428,2025,SE,FT,Software Engineer,144200,USD,144200,US,0,US,M
18429,2025,EN,FT,Engineer,105772,USD,105772,US,0,US,M
18432,2025,SE,FT,Engineer,160800,USD,160800,US,0,US,M
18435,2025,EN,FT,Software Engineer,70000,USD,70000,US,0,US,M
18436,2025,EN,FT,Software Engineer,50000,USD,50000,US,0,US,M
18441,2025,MI,FT,Software Engineer,180000,USD,180000,US,100,US,M
18443,2025,MI,FT,Research Scientist,220000,USD,220000,US,100,US,M
18446,2025,SE,FT,Software Engineer,111000,USD,111000,US,0,US,M
18450,2025,SE,FT,Software Engineer,210000,USD,210000,US,0,US,M
18453,2025,MI,FT,Software Engineer,70000,USD,70000,BR,100,BR,M
18458,2025,SE,FT,Architect,171500,USD,171500,US,0,US,M
18460,2025,SE,FT,Architect,150000,USD,150000,US,100,US,M
18461,2025,SE,FT,Engineer,300000,USD,300000,US,0,US,M
18464,2025,SE,FT,Software Engineer,120400,USD,120400,US,0,US,M
18475,2025,SE,FT,Product Manager,251600,USD,251600,US,0,US,M
18478,2025,MI,FT,Software Engineer,159000,CAD,113571,CA,0,CA,M
18479,2025,SE,FT,Software Engineer,202000,USD,202000,US,0,US,M
18482,2025,SE,FT,AI Engineer,128400,USD,128400,US,0,US,M
18485,2025,SE,FT,Data Scientist,281000,USD,281000,US,0,US,M
18486,2025,SE,FT,Data Scientist,206000,USD,206000,US,0,US,M
18488,2025,MI,FT,Data Scientist,84200,USD,84200,CA,0,CA,M
18490,2025,SE,FT,Data Scientist,143320,USD,143320,US,0,US,M
18493,2025,SE,FT,Data Analyst,110000,USD,110000,US,100,US,M
18496,2025,EN,FT,Data Analyst,63100,USD,63100,US,0,US,M
18502,2025,SE,FT,Data Analyst,100300,USD,100300,US,0,US,M
18506,2025,SE,FT,Data Manager,143000,USD,143000,US,0,US,M
18507,2025,SE,FT,Data Governance,159550,USD,159550,US,0,US,M
18509,2025,MI,FT,Manager,259000,USD,259000,US,0,US,M
18513,2025,SE,FT,Software Engineer,293000,USD,293000,US,0,US,M
18519,2025,SE,FT,Software Engineer,227400,USD,227400,US,0,US,M
18525,2025,MI,FT,Consultant,53916,USD,53916,US,0,US,M
18526,2025,MI,FT,Consultant,53916,USD,53916,US,0,US,M
18528,2025,SE,PT,Developer,62000,CAD,44285,CA,0,CA,M
18531,2025,SE,FT,Software Engineer,294000,USD,294000,US,0,US,M
18534,2025,SE,FT,Engineer,89400,USD,89400,US,0,US,M
18537,2025,SE,FT,Computational Biologist,160500,USD,160500,US,0,US,M
18538,2025,SE,FT,Computational Biologist,96300,USD,96300,US,0,US,M
18539,2025,MI,FT,Data Engineer,45000,GBP,56962,GB,0,GB,M
18541,2025,EN,FT,Data Engineer,53000,EUR,55789,AT,0,AT,M
18546,2025,SE,FT,AI Engineer,129400,USD,129400,US,0,US,M
18551,2025,MI,FT,Data Manager,112331,USD,112331,AU,0,AU,M
18554,2025,MI,FT,Data Governance,68000,USD,68000,US,0,US,M
18556,2025,SE,FT,Manager,92400,USD,92400,CA,0,CA,M
18557,2025,EX,FT,Head of Data,287103,USD,287103,US,0,US,M
18558,2025,EX,FT,Head of Data,174760,USD,174760,US,0,US,M
18563,2025,SE,FT,Machine Learning Scientist,220000,USD,220000,US,0,US,M
18569,2025,MI,FT,Data Scientist,225000,USD,225000,US,0,US,M
18570,2025,MI,FT,Data Scientist,99000,USD,99000,US,0,US,M
18572,2025,SE,FT,Manager,117500,USD,117500,US,100,US,M
18573,2025,MI,FT,Associate,55000,USD,55000,US,100,US,M
18576,2025,MI,FT,Data Analyst,55100,USD,55100,US,100,US,M
18580,2025,EN,FT,Data Analyst,59000,USD,59000,US,100,US,M
18582,2025,SE,FT,Data Analyst,55000,USD,55000,US,100,US,M
18584,2025,MI,FT,Data Analyst,79700,USD,79700,US,0,US,M
18585,2025,SE,FT,Data Analyst,123700,USD,123700,US,100,US,M
18586,2025,SE,FT,Data Analyst,68700,USD,68700,US,100,US,M
18587,2025,MI,FT,Data Analyst,133900,USD,133900,US,0,US,M
18590,2025,SE,FT,Architect,155000,USD,155000,US,100,US,M
18591,2025,SE,FT,Data Architect,188640,USD,188640,US,0,US,M
18592,2025,SE,FT,Data Architect,125760,USD,125760,US,0,US,M
18594,2025,MI,FT,Data Engineer,100960,USD,100960,US,0,US,M
18595,2025,SE,FT,Data Engineer,202560,USD,202560,US,0,US,M
18596,2025,SE,FT,Data Engineer,135040,USD,135040,US,0,US,M
18600,2025,SE,FT,Data Engineer,118000,USD,118000,US,0,US,M
18601,2025,SE,FT,Engineer,170000,USD,170000,US,0,US,M
18602,2025,SE,FT,Engineer,100000,USD,100000,US,0,US,M
18605,2025,MI,FT,Developer,176000,USD,176000,US,0,US,M
18609,2025,SE,FT,Architect,207000,USD,207000,US,100,US,M
18614,2025,SE,FT,Engineer,108000,USD,108000,US,0,US,M
18616,2025,SE,FT,Analyst,106000,USD,106000,US,0,US,M
18617,2025,SE,FT,Systems Engineer,192500,USD,192500,US,0,US,M
18618,2025,SE,FT,Systems Engineer,140000,USD,140000,US,0,US,M
18619,2025,SE,FT,Engineer,202500,USD,202500,US,0,US,M
18621,2025,SE,FT,Analyst,172080,USD,172080,US,0,US,M
18624,2025,MI,FT,Associate,90000,USD,90000,US,0,US,M
18625,2025,MI,FT,Associate,140000,USD,140000,US,0,US,M
18626,2025,MI,FT,Associate,120000,USD,120000,US,0,US,M
18628,2025,MI,FT,Software Engineer,129000,USD,129000,US,0,US,M
18630,2025,SE,FT,Analyst,115900,USD,115900,US,0,US,M
18631,2025,MI,FT,Manager,155000,USD,155000,US,100,US,M
18633,2025,SE,FT,Software Development Engineer,207219,USD,207219,US,0,US,M
18635,2025,MI,FT,Software Development Engineer,169852,USD,169852,US,0,US,M
18639,2025,MI,FT,Data Scientist,115000,USD,115000,US,100,US,M
18642,2025,SE,FT,BI Engineer,120000,USD,120000,US,0,US,M
18643,2025,SE,FT,Consultant,88523,USD,88523,US,0,US,M
18644,2025,SE,FT,Consultant,67833,USD,67833,US,0,US,M
18647,2025,MI,FT,Platform Engineer,164000,USD,164000,US,100,US,M
18649,2025,EX,FT,Data Engineer,220220,USD,220220,US,0,US,M
18651,2025,SE,FT,Data Engineer,175200,USD,175200,US,100,US,M
18654,2025,SE,FT,Associate,73950,USD,73950,US,0,US,M
18655,2025,EN,FT,Data Analyst,185000,USD,185000,US,0,US,M
18656,2025,EN,FT,Data Analyst,120000,USD,120000,US,0,US,M
18657,2025,EN,FT,Data Analyst,185000,USD,185000,US,0,US,M
18658,2025,EN,FT,Data Analyst,120000,USD,120000,US,0,US,M
18662,2025,EN,FT,Associate,70550,USD,70550,US,0,US,M
18663,2025,SE,FT,Analytics Specialist,110000,USD,110000,US,0,US,M
18664,2025,SE,FT,Analytics Specialist,88000,USD,88000,US,0,US,M
18667,2025,SE,FT,Software Engineer,226900,USD,226900,US,0,US,M
18670,2025,MI,FT,Software Engineer,94500,USD,94500,US,0,US,M
18674,2025,SE,FT,Product Manager,111200,USD,111200,CA,0,CA,M
18677,2025,SE,FT,Data Engineer,138000,USD,138000,US,0,US,M
18678,2025,SE,FT,Data Engineer,102000,USD,102000,US,0,US,M
18679,2025,MI,FT,Machine Learning Engineer,259000,USD,259000,US,0,US,M
18682,2025,MI,FT,Data Analytics Manager,87000,USD,87000,US,0,US,M
18683,2025,EX,FT,Data Analyst,94160,USD,94160,US,100,US,M
18685,2025,SE,FT,Data Analyst,130425,USD,130425,US,0,US,M
18687,2025,SE,FT,Software Engineer,414000,USD,414000,US,0,US,M
18693,2025,SE,FT,Data Scientist,162150,USD,162150,US,0,US,M
18697,2025,SE,FT,Data Architect,201840,USD,201840,US,100,US,M
18698,2025,SE,FT,Data Architect,118730,USD,118730,US,100,US,M
18699,2025,SE,FT,Data Specialist,162400,USD,162400,US,0,US,M
18702,2025,MI,FT,Research Scientist,115400,USD,115400,US,100,US,M
18705,2025,MI,FT,Business Analyst,173300,USD,173300,US,0,US,M
18706,2025,MI,FT,Business Analyst,86700,USD,86700,US,0,US,M
18707,2025,SE,FT,Machine Learning Engineer,257600,USD,257600,US,0,US,M
18708,2025,SE,FT,Machine Learning Engineer,142700,USD,142700,US,0,US,M
18711,2025,SE,FT,Research Scientist,431250,USD,431250,US,0,US,M
18713,2025,SE,FT,Engineer,227950,USD,227950,US,100,US,M
18714,2025,SE,FT,Engineer,126100,USD,126100,US,100,US,M
18715,2025,MI,FT,Engineer,184000,USD,184000,US,0,US,M
18719,2025,MI,FT,Engineer,184000,USD,184000,US,0,US,M
18721,2025,SE,FT,Engineer,184000,USD,184000,US,0,US,M
18723,2025,SE,FT,Architect,178010,USD,178010,US,0,US,M
18725,2025,MI,FT,Associate,95000,USD,95000,CA,0,CA,M
18728,2025,MI,FT,Platform Engineer,143700,USD,143700,US,0,US,M
18729,2025,SE,FT,Consultant,139450,USD,139450,US,0,US,M
18730,2025,SE,FT,Consultant,134100,USD,134100,US,0,US,M
18733,2025,SE,FT,Data Visualization Specialist,85000,USD,85000,US,0,US,M
18735,2025,SE,FT,Data Engineer,225300,USD,225300,US,0,US,M
18737,2025,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
18738,2025,SE,FT,Data Engineer,119000,USD,119000,US,0,US,M
18749,2025,MI,FT,Analytics Engineer,144000,USD,144000,US,0,US,M
18752,2025,MI,FT,Analytics Engineer,96000,USD,96000,US,0,US,M
18754,2025,MI,CT,Data Specialist,94000,USD,94000,US,0,US,M
18755,2025,MI,FT,Data Analyst,92000,USD,92000,US,0,US,M
18757,2025,MI,FT,Data Analytics Manager,210000,USD,210000,US,100,US,M
18760,2025,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
18761,2025,MI,FT,Data Analyst,90000,USD,90000,US,0,US,M
18764,2025,SE,FT,Data Analyst,83000,USD,83000,US,0,US,M
18765,2025,MI,FT,Site Reliability Engineer,252000,USD,252000,US,0,US,M
18768,2025,MI,FT,Site Reliability Engineer,138000,USD,138000,US,0,US,M
18769,2025,MI,FT,Engineer,140000,USD,140000,US,0,US,M
18783,2025,SE,FT,Machine Learning Engineer,280000,USD,280000,US,0,US,M
18789,2025,MI,FT,Data Scientist,164320,USD,164320,US,0,US,M
18790,2025,MI,FT,Data Scientist,95680,USD,95680,US,0,US,M
18792,2025,SE,FT,Data Scientist,158000,CAD,112857,CA,100,CA,M
18795,2025,SE,FT,Data Scientist,259000,USD,259000,US,0,US,M
18796,2025,SE,FT,Data Scientist,204000,USD,204000,US,0,US,M
18799,2025,SE,FT,Data Scientist,247600,USD,247600,US,0,US,L
18801,2025,SE,FT,Product Manager,302000,USD,302000,US,0,US,M
18802,2025,SE,FT,Product Manager,238000,USD,238000,US,0,US,M
18803,2025,MI,FT,Manager,140000,USD,140000,US,100,US,M
18804,2025,MI,FT,Manager,93500,USD,93500,US,100,US,M
18807,2025,SE,FT,Manager,376000,USD,376000,US,0,US,M
18808,2025,SE,FT,Manager,184000,USD,184000,US,0,US,M
18810,2025,MI,FT,Data Engineer,32000,GBP,40506,GB,0,GB,M
18811,2025,MI,FT,Data Engineer,138320,USD,138320,US,0,US,M
18812,2025,MI,FT,Data Engineer,82160,USD,82160,US,0,US,M
18814,2025,SE,FT,Data Engineer,117520,USD,117520,US,0,US,M
18815,2025,MI,FT,Data Governance Specialist,100000,USD,100000,CA,0,CA,M
18820,2025,SE,FT,Engineer,143300,USD,143300,US,0,US,L
18823,2025,SE,FT,Product Designer,292800,USD,292800,US,0,US,L
18824,2025,SE,FT,Product Designer,196700,USD,196700,US,0,US,L
18827,2025,SE,FT,Software Engineer,220000,USD,220000,US,100,US,M
18828,2025,SE,FT,Software Engineer,180000,USD,180000,US,100,US,M
18829,2025,MI,FT,Engineer,194000,USD,194000,US,100,US,M
18831,2025,SE,FT,Manager,222000,USD,222000,US,0,US,M
18834,2025,SE,FT,Manager,170000,USD,170000,US,0,US,M
18836,2025,MI,FT,Analyst,122000,USD,122000,US,0,US,M
18838,2025,SE,FT,Manager,166000,USD,166000,US,0,US,M
18839,2025,MI,FT,Software Engineer,220000,USD,220000,US,0,US,M
18841,2025,SE,FT,Manager,165000,USD,165000,US,100,US,M
18843,2025,EN,FT,Analyst,98000,USD,98000,US,0,US,M
18844,2025,EN,FT,Analyst,63000,USD,63000,US,0,US,M
18845,2025,SE,FT,Solutions Architect,247300,USD,247300,US,0,US,M
18846,2025,SE,FT,Solutions Architect,161300,USD,161300,US,0,US,M
18847,2025,MI,FT,Software Engineer,193500,USD,193500,US,0,US,M
18849,2025,SE,FT,Analyst,185000,USD,185000,US,0,US,M
18850,2025,SE,FT,Analyst,157000,USD,157000,US,0,US,M
18856,2025,SE,FT,Product Manager,113000,USD,113000,CA,100,CA,M
18857,2025,SE,FT,Consultant,138320,USD,138320,US,0,US,M
18858,2025,SE,FT,Consultant,82160,USD,82160,US,0,US,M
18859,2025,SE,FT,Consultant,138320,USD,138320,US,0,US,M
18860,2025,SE,FT,Consultant,82160,USD,82160,US,0,US,M
18861,2025,SE,FT,Consultant,138320,USD,138320,US,0,US,M
18862,2025,SE,FT,Consultant,82160,USD,82160,US,0,US,M
18866,2025,SE,FT,Product Manager,100000,USD,100000,US,0,US,M
18870,2025,SE,FT,Product Manager,100000,USD,100000,US,0,US,M
18871,2025,MI,FT,Engineer,150000,USD,150000,US,100,US,M
18872,2025,MI,FT,Engineer,130000,USD,130000,US,100,US,M
18876,2025,SE,FT,Data Analyst,145113,USD,145113,CA,100,CA,M
18877,2025,SE,FT,Data Analyst,120927,USD,120927,CA,100,CA,M
18878,2025,SE,FT,Data Analyst,148719,USD,148719,US,100,US,M
18881,2025,SE,FT,Data Scientist,95000,GBP,120253,GB,100,GB,M
18883,2025,MI,FT,Data Scientist,79642,USD,79642,US,100,US,M
18884,2025,SE,FT,Software Engineer,181000,USD,181000,US,0,US,M
18885,2025,SE,FT,Software Engineer,144200,USD,144200,US,0,US,M
18886,2025,SE,FT,Data Team Lead,102100,USD,102100,US,0,US,M
18890,2025,MI,FT,Manager,123300,USD,123300,US,0,US,M
18893,2025,SE,FT,Machine Learning Engineer,195000,USD,195000,US,100,US,M
18894,2025,SE,FT,Machine Learning Engineer,355000,USD,355000,US,100,US,M
18897,2025,SE,FT,Member of Technical Staff,100000,USD,100000,US,0,US,M
18898,2025,SE,FT,Software Engineer,220000,USD,220000,US,0,US,M
18903,2025,MI,FT,Analyst,152405,USD,152405,US,100,US,M
18904,2025,SE,FT,Technical Lead,118000,CAD,84285,CA,0,CA,M
18906,2025,SE,FT,Data Analyst,273930,USD,273930,US,0,US,M
18909,2025,MI,FT,Research Engineer,150000,USD,150000,US,0,US,M
18910,2025,EN,FT,Analyst,114700,USD,114700,US,0,US,M
18912,2025,SE,FT,Data Management Analyst,162600,USD,162600,US,0,US,M
18914,2025,EN,FT,Associate,72100,USD,72100,US,0,US,M
18918,2025,SE,FT,Machine Learning Engineer,350000,USD,350000,US,0,US,M
18920,2025,MI,FT,Research Associate,108362,USD,108362,AU,0,AU,M
18921,2025,MI,FT,Research Associate,80520,USD,80520,AU,0,AU,M
18924,2025,SE,FT,Computer Vision Engineer,208000,USD,208000,US,0,US,M
18925,2025,SE,FT,Computer Vision Engineer,141340,USD,141340,US,0,US,M
18926,2025,SE,FT,Data Analytics Manager,188875,USD,188875,US,0,US,M
18928,2025,SE,FT,Data Engineer,154500,USD,154500,US,0,US,M
18929,2025,SE,FT,Data Engineer,92200,USD,92200,US,0,US,M
18935,2025,SE,FT,Data Scientist,102400,USD,102400,US,0,US,M
18937,2025,EX,FT,Software Development Engineer,107120,USD,107120,US,0,US,M
